id;fence_id;fence_name;fence_code;type;created_by;created_time;modified_by;modified_time
1;67358;Money Market Account;next-generation;91425;Handcrafted Concrete Shoes;2020-02-04;Licensed Movies Checking Account;2020-02-03
2;49907;encoding Australian Dollar primary;Armenian Dram;69110;transmitting Car Coordinator;2020-02-03;Croatian Kuna blue reboot;2020-02-04
3;32531;Tools Car;Division;45782;Bacon;2020-02-04;Hat Licensed Granite Fish Soft;2020-02-04
4;14256;user-facing;Auto Loan Account Avon Baby;14417;Personal Loan Account Inlet;2020-02-03;Borders e-business Madagascar;2020-02-03
5;96948;Borders Lithuania;Games Avon;63112;SSL;2020-02-04;Dalasi;2020-02-03
6;3876;Gold;global;24491;best-of-breed aggregate;2020-02-03;indexing Lari 24/7;2020-02-03
7;80311;Program;Towels;90772;Cotton IB Toys;2020-02-04;convergence Avon;2020-02-04
8;94169;compressing;Thailand Fantastic;63868;Investment Account;2020-02-04;Phased neural Congo;2020-02-03
9;49398;Buckinghamshire Incredible global;Ukraine;39607;Monitored;2020-02-04;New Israeli Sheqel 5th generation;2020-02-03
10;24936;Handmade synthesizing;Generic Rubber Shoes Buckinghamshire alarm;40273;synthesizing Human;2020-02-03;Avon;2020-02-03
